State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag,Borough
NY,11040,2020-08-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,49,DMV Snapshot (4/1/2021),False,Queens
NY,10128,2018-11-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,39,DMV Snapshot (6/2/2020),False,Manhattan
NY,11040,2020-10-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,50,DMV Snapshot (5/1/2021),False,Queens
NY,10010,2020-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,54,DMV Snapshot (9/2/2021),False,Manhattan
NY,10013,2018-08-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,24,DMV Snapshot (3/2/2019),False,Manhattan
NY,11040,2020-10-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,60,DMV Snapshot (3/1/2022),False,Queens
NY,10003,2018-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,37,DMV Snapshot (4/2/2020),False,Manhattan
NY,11354,2022-08-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,69,DMV Snapshot (12/2/2022),False,Queens
NY,10128,2018-11-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,24,DMV Snapshot (3/2/2019),False,Manhattan
NY,10003,2018-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,33,DMV Snapshot (12/2/2019),False,Manhattan
NY,10003,2018-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,19,DMV Snapshot (10/2/2018),False,Manhattan
NY,11354,2018-09-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,41,DMV Snapshot (8/2/2020),False,Queens
NY,11040,2022-07-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,67,DMV Snapshot (10/2/2022),False,Queens
NY,11215,2018-09-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,29,DMV Snapshot (8/2/2019),False,Brooklyn
NY,10128,2018-11-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,38,DMV Snapshot (5/4/2020),False,Manhattan
NY,10007,2020-05-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,51,DMV Snapshot (6/1/2021),False,Manhattan
NY,10021,2018-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,18,DMV Snapshot (9/2/2018),False,Manhattan
NY,11040,2020-08-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,55,DMV Snapshot (10/1/2021),False,Queens
NY,10003,2018-06-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,31,DMV Snapshot (10/11/2019),False,Manhattan
NY,10013,2018-08-01,TESLA,MODEL X,2018,BEV,2A,Light-Duty (Class 1-2A),2,37,DMV Snapshot (4/2/2020),False,Manhattan
