station_name,id,latitude,longitude,zip,ev_dc_fast_num,ev_level2_evse_num,ev_network
Star Nissan,44323,40.758245,-73.776954,11361,0.0,1.0,Non-Networked
Kings Nissan,44329,40.589167,-73.960707,11235,0.0,1.0,Non-Networked
Nissan of Queens,49938,40.68106,-73.84554,11417,0.0,1.0,Non-Networked
Dana Ford Lincoln,64140,40.587162,-74.194747,10314,0.0,1.0,Non-Networked
Bay Ridge Municipal Parking Garage,65288,40.621698,-74.02567,11209,0.0,5.0,EV Connect
St. George Courthouse,65296,40.639469,-74.076912,10301,0.0,3.0,EV Connect
Koeppel Nissan,85969,40.755072,-73.892094,11372,1.0,2.0,Non-Networked
Jerome 190th Street Municipal Parking,94830,40.86334,-73.900066,10468,0.0,5.0,EV Connect
Nissan of Staten Island,99500,40.581432,-74.097694,10306,0.0,1.0,Non-Networked
Mott Street Parking - Tesla Supercharger,102334,40.717522,-73.997302,10013,2.0,0.0,Tesla
W 75th Parking Garage - Tesla Supercharger,102335,40.780976,-73.980414,10023,4.0,0.0,Tesla
E 47th Street - Tesla Supercharger,102336,40.753356,-73.971685,10017,4.0,0.0,Tesla
WCS NS1 BOSTON RD,104341,40.846205,-73.876513,10460,0.0,1.0,ChargePoint Network
Astoria Central Parking - Tesla Destination,114881,40.762502,-73.924507,11106,0.0,4.0,Tesla Destination
Century Parking Corp - Tesla Destination,114888,40.878532,-73.916201,10463,0.0,4.0,Tesla Destination
Standard Parking 1360 Fulton Street - Tesla Destination,114889,40.680168,-73.946022,11216,0.0,2.0,Tesla Destination
Standard Parking 15 Metrotech - Tesla Destination,114890,40.693999,-73.983809,11201,0.0,3.0,Tesla Destination
Quik Park Armory Parking Inc. - Tesla Destination,114891,40.692635,-73.969935,11205,0.0,2.0,Tesla Destination
Discount Parking 180 Ashland Place - Tesla Destination,114892,40.689457,-73.978606,11217,0.0,2.0,Tesla Destination
iPark 22/34 N 6th Garage Corp - Tesla Destination,114893,40.719338,-73.963081,11211,0.0,4.0,Tesla Destination
Parkright 257 Gold Street - Tesla Destination,114895,40.696848,-73.983071,11201,0.0,3.0,Tesla Destination
Standard Parking Pierepoint Plaza - Tesla Destination,114896,40.695115,-73.990993,11201,0.0,3.0,Tesla Destination
Enterprise 309 Gold Street - Tesla Destination,114897,40.694841,-73.982849,11201,0.0,3.0,Tesla Destination
Standard Parking 1 Metrotech - Tesla Destination,114900,40.69306,-73.987222,11201,0.0,3.0,Tesla Destination
GGMC Belltel Car Park - Tesla Destination,114901,40.692579,-73.985252,11201,0.0,3.0,Tesla Destination
Quik Park 365 Management LLC - Tesla Destination,114902,40.677412,-73.990986,11231,0.0,3.0,Tesla Destination
GMC 388 Bridge Street - Tesla Destination,114903,40.691469,-73.985446,11201,0.0,3.0,Tesla Destination
Quik Park Brooklyn Bridge LLC - Tesla Destination,114904,40.692941,-74.000298,11201,0.0,3.0,Tesla Destination
Rapidpark 44 State Street - Tesla Destination,114905,40.692062,-73.99816,11201,0.0,3.0,Tesla Destination
